Provincia,Nombre,Latitud,Longitud,Year,Tmed_min,Tmed_year,Tmed_max,Dias<0º,Dias>30º,Hum relativa,Precipitacion,Lluvia
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1979,10.64,15.33,20.03,3.0,5.0,71.75,755.7,47.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1980,10.36,15.08,19.81,10.0,3.0,73.17,432.9,36.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1981,10.88,15.58,20.29,6.0,7.0,71.75,428.5,15.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1982,11.48,15.88,20.26,1.0,12.0,73.92,702.2,4.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1983,11.07,15.74,20.41,6.0,18.0,71.92,757.3,0.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1984,9.94,14.75,19.55,6.0,0.0,72.83,699.2,11.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1985,10.41,15.11,19.82,19.0,2.0,72.92,511.7,52.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1986,10.6,15.37,20.11,6.0,6.0,73.5,571.2,92.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1987,11.07,15.6,20.11,9.0,12.0,74.33,984.8,100.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1988,10.67,15.67,20.65,10.0,14.0,72.75,426.0,88.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1989,11.75,16.37,20.98,0.0,18.0,74.08,573.2,102.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1990,12.38,16.67,20.92,1.0,22.0,71.0,684.2,84.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1991,10.49,14.92,19.27,2.0,2.0,72.5,628.0,99.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1992,10.35,14.76,19.13,4.0,3.0,,534.6999999999999,104.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1993,10.46,14.81,19.12,5.0,8.0,71.33,695.8,97.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1994,12.71,16.78,20.85,0.0,28.0,70.42,561.4,78.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1995,12.7,16.6,20.51,0.0,13.0,70.25,536.1,113.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1996,12.4,16.15,19.91,1.0,8.0,71.92,1025.5,133.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1997,13.23,17.03,20.8,0.0,9.0,72.33,456.8,85.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1998,12.55,16.79,21.02,0.0,25.0,68.58,501.7,81.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,1999,12.62,16.71,20.78,3.0,11.0,67.92,385.2,83.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2000,12.1,16.05,19.99,0.0,4.0,71.08,404.6,91.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2001,11.51,15.3,19.07,10.0,2.0,68.42,474.9,74.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2002,11.61,15.68,19.69,0.0,3.0,71.08,773.3,96.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2003,13.15,17.44,21.68,4.0,71.0,69.33,651.5999999999999,88.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2004,13.12,17.17,21.16,1.0,26.0,68.92,507.5,92.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2005,12.48,16.46,20.38,5.0,12.0,64.58,581.0,97.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2006,13.3,17.39,21.43,0.0,34.0,64.5,361.6,82.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2007,12.59,16.9,21.12,7.0,11.0,60.75,534.6,83.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2008,12.34,16.46,20.48,1.0,18.0,63.0,509.5,107.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2009,12.6,16.73,20.84,7.0,27.0,62.17,354.2,72.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2010,11.68,15.81,19.89,13.0,18.0,62.22,428.4,78.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2011,13.02,17.22,21.38,5.0,17.0,63.27,700.2,89.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2012,12.79,17.02,21.19,10.0,23.0,61.88,446.2,84.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2013,13.07,16.92,20.72,0.0,18.0,67.25,590.4,93.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2014,13.95,17.74,21.44,0.0,5.0,72.09,419.40000000000003,77.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2015,13.55,17.48,21.4,0.0,28.0,67.75,323.9,70.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2016,13.61,17.46,21.27,0.0,15.0,67.83,406.9,79.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2017,13.52,17.57,21.59,1.0,24.0,66.17,353.70000000000005,81.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2018,13.88,17.75,21.6,0.0,34.0,68.08,753.4,110.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2019,13.42,17.47,21.48,0.0,32.0,67.83,672.8,80.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2020,13.62,17.58,21.47,0.0,31.0,70.58,1012.5,86.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2021,13.64,17.32,20.97,1.0,17.0,68.75,334.0,82.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2022,14.97,18.92,22.79,0.0,66.0,67.55,331.8,76.0
BARCELONA,BARCELONA AEROPUERTO,411734N,020412E,2023,14.58,18.39,22.15,1.0,25.0,66.91,274.5,53.0
